year,quarter,location,type,persons
1988,2,Manitoba,out-migration,-5321
1988,3,Manitoba,out-migration,-9659
1988,4,Manitoba,out-migration,-5948
1989,1,Manitoba,out-migration,-4352
1989,2,Manitoba,out-migration,-5438
1989,3,Manitoba,out-migration,-10405
1989,4,Manitoba,out-migration,-6442
1990,1,Manitoba,out-migration,-4746
1990,2,Manitoba,out-migration,-6198
1990,3,Manitoba,out-migration,-10015
1990,4,Manitoba,out-migration,-4492
1991,1,Manitoba,out-migration,-3695
1991,2,Manitoba,out-migration,-5779
1991,3,Manitoba,out-migration,-9697
1991,4,Manitoba,out-migration,-4349
1992,1,Manitoba,out-migration,-3902
1992,2,Manitoba,out-migration,-5648
1992,3,Manitoba,out-migration,-8818
1992,4,Manitoba,out-migration,-3972
1993,1,Manitoba,out-migration,-3554
1993,2,Manitoba,out-migration,-5048
1993,3,Manitoba,out-migration,-7395
1993,4,Manitoba,out-migration,-3803
1994,1,Manitoba,out-migration,-3558
1994,2,Manitoba,out-migration,-5111
1994,3,Manitoba,out-migration,-6664
1994,4,Manitoba,out-migration,-4043
1995,1,Manitoba,out-migration,-3385
1995,2,Manitoba,out-migration,-5018
1995,3,Manitoba,out-migration,-6932
1995,4,Manitoba,out-migration,-3522
1996,1,Manitoba,out-migration,-3462
1996,2,Manitoba,out-migration,-4725
1996,3,Manitoba,out-migration,-6385
1996,4,Manitoba,out-migration,-3527
1997,1,Manitoba,out-migration,-4056
1997,2,Manitoba,out-migration,-5788
1997,3,Manitoba,out-migration,-6911
1997,4,Manitoba,out-migration,-3132
1998,1,Manitoba,out-migration,-4668
1998,2,Manitoba,out-migration,-5471
1998,3,Manitoba,out-migration,-5367
1998,4,Manitoba,out-migration,-2914
1999,1,Manitoba,out-migration,-3154
1999,2,Manitoba,out-migration,-4663
1999,3,Manitoba,out-migration,-5677
1999,4,Manitoba,out-migration,-2904
2000,1,Manitoba,out-migration,-3924
2000,2,Manitoba,out-migration,-5026
2000,3,Manitoba,out-migration,-5718
2000,4,Manitoba,out-migration,-3250
2001,1,Manitoba,out-migration,-3602
2001,2,Manitoba,out-migration,-4376
2001,3,Manitoba,out-migration,-6204
2001,4,Manitoba,out-migration,-3411
2002,1,Manitoba,out-migration,-3520
2002,2,Manitoba,out-migration,-5169
2002,3,Manitoba,out-migration,-6049
2002,4,Manitoba,out-migration,-2931
2003,1,Manitoba,out-migration,-3046
2003,2,Manitoba,out-migration,-4556
2003,3,Manitoba,out-migration,-5295
2003,4,Manitoba,out-migration,-2582
2004,1,Manitoba,out-migration,-3245
2004,2,Manitoba,out-migration,-4744
2004,3,Manitoba,out-migration,-5877
2004,4,Manitoba,out-migration,-3297
2005,1,Manitoba,out-migration,-4155
2005,2,Manitoba,out-migration,-6078
2005,3,Manitoba,out-migration,-6436
2005,4,Manitoba,out-migration,-3528
2006,1,Manitoba,out-migration,-4311
2006,2,Manitoba,out-migration,-5050
2006,3,Manitoba,out-migration,-6861
2006,4,Manitoba,out-migration,-3694
2007,1,Manitoba,out-migration,-3228
2007,2,Manitoba,out-migration,-4207
2007,3,Manitoba,out-migration,-5619
2007,4,Manitoba,out-migration,-2838
2008,1,Manitoba,out-migration,-3579
2008,2,Manitoba,out-migration,-4378
2008,3,Manitoba,out-migration,-5561
2008,4,Manitoba,out-migration,-2622
2009,1,Manitoba,out-migration,-3462
2009,2,Manitoba,out-migration,-3382
2009,3,Manitoba,out-migration,-4217
2009,4,Manitoba,out-migration,-2547
2010,1,Manitoba,out-migration,-3312
2010,2,Manitoba,out-migration,-4122
2010,3,Manitoba,out-migration,-4367
2010,4,Manitoba,out-migration,-2724
2011,1,Manitoba,out-migration,-3628
2011,2,Manitoba,out-migration,-3883
2011,3,Manitoba,out-migration,-5111
2011,4,Manitoba,out-migration,-3059
2012,1,Manitoba,out-migration,-3583
2012,2,Manitoba,out-migration,-5096
2012,3,Manitoba,out-migration,-4743
2012,4,Manitoba,out-migration,-2603
2013,1,Manitoba,out-migration,-3694
2013,2,Manitoba,out-migration,-5481
2013,3,Manitoba,out-migration,-4745
2013,4,Manitoba,out-migration,-3194
2014,1,Manitoba,out-migration,-4013
2014,2,Manitoba,out-migration,-5634
2014,3,Manitoba,out-migration,-4785
2014,4,Manitoba,out-migration,-2747
2015,1,Manitoba,out-migration,-4660
2015,2,Manitoba,out-migration,-6149
2015,3,Manitoba,out-migration,-5166
2015,4,Manitoba,out-migration,-2658
2016,1,Manitoba,out-migration,-4054
2016,2,Manitoba,out-migration,-5481
2016,3,Manitoba,out-migration,-5753
2016,4,Manitoba,out-migration,-2790
2017,1,Manitoba,out-migration,-4302
2017,2,Manitoba,out-migration,-5906
1961,3,Saskatchewan,out-migration,-7957
1961,4,Saskatchewan,out-migration,-9673
1962,1,Saskatchewan,out-migration,-6138
1962,2,Saskatchewan,out-migration,-5896
1962,3,Saskatchewan,out-migration,-9395
1962,4,Saskatchewan,out-migration,-11579
1963,1,Saskatchewan,out-migration,-6247
1963,2,Saskatchewan,out-migration,-6143
1963,3,Saskatchewan,out-migration,-8748
1963,4,Saskatchewan,out-migration,-8961
1964,1,Saskatchewan,out-migration,-5569
1964,2,Saskatchewan,out-migration,-5538
1964,3,Saskatchewan,out-migration,-8839
1964,4,Saskatchewan,out-migration,-9815
1965,1,Saskatchewan,out-migration,-5727
1965,2,Saskatchewan,out-migration,-5808
1965,3,Saskatchewan,out-migration,-9694
1965,4,Saskatchewan,out-migration,-10919
1966,1,Saskatchewan,out-migration,-6613
1966,2,Saskatchewan,out-migration,-6150
1966,3,Saskatchewan,out-migration,-11364
1966,4,Saskatchewan,out-migration,-11554
1967,1,Saskatchewan,out-migration,-7120
1967,2,Saskatchewan,out-migration,-5968
1967,3,Saskatchewan,out-migration,-10616
1967,4,Saskatchewan,out-migration,-11157
1968,1,Saskatchewan,out-migration,-6301
1968,2,Saskatchewan,out-migration,-5910
1968,3,Saskatchewan,out-migration,-8273
1968,4,Saskatchewan,out-migration,-12845
1969,1,Saskatchewan,out-migration,-6944
1969,2,Saskatchewan,out-migration,-7377
1969,3,Saskatchewan,out-migration,-12990
1969,4,Saskatchewan,out-migration,-14968
1970,1,Saskatchewan,out-migration,-10391
1970,2,Saskatchewan,out-migration,-8203
1970,3,Saskatchewan,out-migration,-14229
1970,4,Saskatchewan,out-migration,-14840
1971,1,Saskatchewan,out-migration,-8083
1971,2,Saskatchewan,out-migration,-6403
1971,3,Saskatchewan,out-migration,-13110
1971,4,Saskatchewan,out-migration,-11615
1972,1,Saskatchewan,out-migration,-7634
1972,2,Saskatchewan,out-migration,-6467
1972,3,Saskatchewan,out-migration,-12419
1972,4,Saskatchewan,out-migration,-10264
1973,1,Saskatchewan,out-migration,-7979
1973,2,Saskatchewan,out-migration,-7029
1973,3,Saskatchewan,out-migration,-12593
1973,4,Saskatchewan,out-migration,-11840
1974,1,Saskatchewan,out-migration,-6943
1974,2,Saskatchewan,out-migration,-6983
1974,3,Saskatchewan,out-migration,-10466
1974,4,Saskatchewan,out-migration,-8444
1975,1,Saskatchewan,out-migration,-5547
1975,2,Saskatchewan,out-migration,-4543
1975,3,Saskatchewan,out-migration,-6452
1975,4,Saskatchewan,out-migration,-6886
1976,1,Saskatchewan,out-migration,-4689
1976,2,Saskatchewan,out-migration,-4976
1976,3,Saskatchewan,out-migration,-8045
1976,4,Saskatchewan,out-migration,-4295
1977,1,Saskatchewan,out-migration,-3815
1977,2,Saskatchewan,out-migration,-4721
1977,3,Saskatchewan,out-migration,-8707
1977,4,Saskatchewan,out-migration,-4648
1978,1,Saskatchewan,out-migration,-4128
1978,2,Saskatchewan,out-migration,-5111
1978,3,Saskatchewan,out-migration,-8996
1978,4,Saskatchewan,out-migration,-4821
1979,1,Saskatchewan,out-migration,-4284
1979,2,Saskatchewan,out-migration,-5305
1979,3,Saskatchewan,out-migration,-9477
1979,4,Saskatchewan,out-migration,-5083
1980,1,Saskatchewan,out-migration,-4575
1980,2,Saskatchewan,out-migration,-5651
1980,3,Saskatchewan,out-migration,-9857
1980,4,Saskatchewan,out-migration,-5295
1981,1,Saskatchewan,out-migration,-4732
1981,2,Saskatchewan,out-migration,-5848
1981,3,Saskatchewan,out-migration,-8452
1981,4,Saskatchewan,out-migration,-4555
1982,1,Saskatchewan,out-migration,-4096
1982,2,Saskatchewan,out-migration,-5028
1982,3,Saskatchewan,out-migration,-6749
1982,4,Saskatchewan,out-migration,-3541
1983,1,Saskatchewan,out-migration,-3070
1983,2,Saskatchewan,out-migration,-4141
1983,3,Saskatchewan,out-migration,-6647
1983,4,Saskatchewan,out-migration,-3475
1984,1,Saskatchewan,out-migration,-3017
1984,2,Saskatchewan,out-migration,-3629
1984,3,Saskatchewan,out-migration,-5762
1984,4,Saskatchewan,out-migration,-4365
1985,1,Saskatchewan,out-migration,-3673
1985,2,Saskatchewan,out-migration,-4013
1985,3,Saskatchewan,out-migration,-7014
1985,4,Saskatchewan,out-migration,-5399
1986,1,Saskatchewan,out-migration,-4555
1986,2,Saskatchewan,out-migration,-5462
1986,3,Saskatchewan,out-migration,-8107
1986,4,Saskatchewan,out-migration,-4743
1987,1,Saskatchewan,out-migration,-3814
1987,2,Saskatchewan,out-migration,-5015
1987,3,Saskatchewan,out-migration,-9118
1987,4,Saskatchewan,out-migration,-6527
1988,1,Saskatchewan,out-migration,-5121
1988,2,Saskatchewan,out-migration,-5874
1988,3,Saskatchewan,out-migration,-11023
1988,4,Saskatchewan,out-migration,-7823
1989,1,Saskatchewan,out-migration,-5736
1989,2,Saskatchewan,out-migration,-6512
1989,3,Saskatchewan,out-migration,-12078
1989,4,Saskatchewan,out-migration,-8613
1990,1,Saskatchewan,out-migration,-6353
1990,2,Saskatchewan,out-migration,-8207
1990,3,Saskatchewan,out-migration,-11866
1990,4,Saskatchewan,out-migration,-5836
1991,1,Saskatchewan,out-migration,-4368
1991,2,Saskatchewan,out-migration,-6423
1991,3,Saskatchewan,out-migration,-10941
1991,4,Saskatchewan,out-migration,-5183
1992,1,Saskatchewan,out-migration,-4160
1992,2,Saskatchewan,out-migration,-5993
1992,3,Saskatchewan,out-migration,-10132
1992,4,Saskatchewan,out-migration,-4785
1993,1,Saskatchewan,out-migration,-3833
1993,2,Saskatchewan,out-migration,-4856
1993,3,Saskatchewan,out-migration,-7966
1993,4,Saskatchewan,out-migration,-4183
1994,1,Saskatchewan,out-migration,-4107
1994,2,Saskatchewan,out-migration,-6003
1994,3,Saskatchewan,out-migration,-6771
1994,4,Saskatchewan,out-migration,-3957
1995,1,Saskatchewan,out-migration,-4091
1995,2,Saskatchewan,out-migration,-5647
1995,3,Saskatchewan,out-migration,-6489
1995,4,Saskatchewan,out-migration,-3895
1996,1,Saskatchewan,out-migration,-3821
1996,2,Saskatchewan,out-migration,-5367
1996,3,Saskatchewan,out-migration,-5828
1996,4,Saskatchewan,out-migration,-3637
1997,1,Saskatchewan,out-migration,-4497
1997,2,Saskatchewan,out-migration,-5603
1997,3,Saskatchewan,out-migration,-6538
1997,4,Saskatchewan,out-migration,-2721
1998,1,Saskatchewan,out-migration,-4807
1998,2,Saskatchewan,out-migration,-6571
1998,3,Saskatchewan,out-migration,-5568
1998,4,Saskatchewan,out-migration,-3576
1999,1,Saskatchewan,out-migration,-4288
1999,2,Saskatchewan,out-migration,-6101
1999,3,Saskatchewan,out-migration,-7137
1999,4,Saskatchewan,out-migration,-3548
2000,1,Saskatchewan,out-migration,-5180
2000,2,Saskatchewan,out-migration,-6638
2000,3,Saskatchewan,out-migration,-6591
2000,4,Saskatchewan,out-migration,-4446
2001,1,Saskatchewan,out-migration,-4644
2001,2,Saskatchewan,out-migration,-5714
2001,3,Saskatchewan,out-migration,-7173
2001,4,Saskatchewan,out-migration,-4216
2002,1,Saskatchewan,out-migration,-5321
2002,2,Saskatchewan,out-migration,-6708
2002,3,Saskatchewan,out-migration,-6660
2002,4,Saskatchewan,out-migration,-3337
2003,1,Saskatchewan,out-migration,-4436
2003,2,Saskatchewan,out-migration,-5880
2003,3,Saskatchewan,out-migration,-5783
2003,4,Saskatchewan,out-migration,-3241
2004,1,Saskatchewan,out-migration,-4138
2004,2,Saskatchewan,out-migration,-5910
2004,3,Saskatchewan,out-migration,-5933
2004,4,Saskatchewan,out-migration,-4452
2005,1,Saskatchewan,out-migration,-5392
2005,2,Saskatchewan,out-migration,-7169
2005,3,Saskatchewan,out-migration,-6490
2005,4,Saskatchewan,out-migration,-4273
2006,1,Saskatchewan,out-migration,-5328
2006,2,Saskatchewan,out-migration,-4727
2006,3,Saskatchewan,out-migration,-6328
2006,4,Saskatchewan,out-migration,-3516
2007,1,Saskatchewan,out-migration,-3720
2007,2,Saskatchewan,out-migration,-3924
2007,3,Saskatchewan,out-migration,-4847
2007,4,Saskatchewan,out-migration,-2946
2008,1,Saskatchewan,out-migration,-3611
2008,2,Saskatchewan,out-migration,-4622
2008,3,Saskatchewan,out-migration,-4399
2008,4,Saskatchewan,out-migration,-2743
2009,1,Saskatchewan,out-migration,-3983
2009,2,Saskatchewan,out-migration,-4019
2009,3,Saskatchewan,out-migration,-4524
2009,4,Saskatchewan,out-migration,-2598
2010,1,Saskatchewan,out-migration,-3606
2010,2,Saskatchewan,out-migration,-4356
2010,3,Saskatchewan,out-migration,-4551
2010,4,Saskatchewan,out-migration,-2863
2011,1,Saskatchewan,out-migration,-4131
2011,2,Saskatchewan,out-migration,-4512
2011,3,Saskatchewan,out-migration,-5301
2011,4,Saskatchewan,out-migration,-3939
2012,1,Saskatchewan,out-migration,-4658
2012,2,Saskatchewan,out-migration,-5846
2012,3,Saskatchewan,out-migration,-5072
2012,4,Saskatchewan,out-migration,-3413
2013,1,Saskatchewan,out-migration,-4372
2013,2,Saskatchewan,out-migration,-6077
2013,3,Saskatchewan,out-migration,-5046
2013,4,Saskatchewan,out-migration,-3570
2014,1,Saskatchewan,out-migration,-4728
2014,2,Saskatchewan,out-migration,-7324
2014,3,Saskatchewan,out-migration,-5219
2014,4,Saskatchewan,out-migration,-3436
2015,1,Saskatchewan,out-migration,-5886
2015,2,Saskatchewan,out-migration,-8063
2015,3,Saskatchewan,out-migration,-5692
2015,4,Saskatchewan,out-migration,-3531
2016,1,Saskatchewan,out-migration,-5700
2016,2,Saskatchewan,out-migration,-6750
2016,3,Saskatchewan,out-migration,-6224
2016,4,Saskatchewan,out-migration,-3737
2017,1,Saskatchewan,out-migration,-5437
2017,2,Saskatchewan,out-migration,-7723
1961,3,Alberta,out-migration,-11779
1961,4,Alberta,out-migration,-9807
1962,1,Alberta,out-migration,-8679
1962,2,Alberta,out-migration,-7815
1962,3,Alberta,out-migration,-12840
1962,4,Alberta,out-migration,-11839
1963,1,Alberta,out-migration,-8907
1963,2,Alberta,out-migration,-8554
1963,3,Alberta,out-migration,-12890
1963,4,Alberta,out-migration,-13369
1964,1,Alberta,out-migration,-9929
1964,2,Alberta,out-migration,-9840
1964,3,Alberta,out-migration,-14648
1964,4,Alberta,out-migration,-12530
1965,1,Alberta,out-migration,-12371
1965,2,Alberta,out-migration,-10530
1965,3,Alberta,out-migration,-17871
1965,4,Alberta,out-migration,-16636
1966,1,Alberta,out-migration,-11927
1966,2,Alberta,out-migration,-10173
1966,3,Alberta,out-migration,-19140
1966,4,Alberta,out-migration,-16307
1967,1,Alberta,out-migration,-10085
1967,2,Alberta,out-migration,-9536
1967,3,Alberta,out-migration,-16717
1967,4,Alberta,out-migration,-13664
1968,1,Alberta,out-migration,-9037
1968,2,Alberta,out-migration,-8567
1968,3,Alberta,out-migration,-11973
1968,4,Alberta,out-migration,-16290
1969,1,Alberta,out-migration,-9447
1969,2,Alberta,out-migration,-9654
1969,3,Alberta,out-migration,-15987
1969,4,Alberta,out-migration,-16147
1970,1,Alberta,out-migration,-11684
1970,2,Alberta,out-migration,-9645
1970,3,Alberta,out-migration,-14170
1970,4,Alberta,out-migration,-17150
1971,1,Alberta,out-migration,-11487
1971,2,Alberta,out-migration,-10608
1971,3,Alberta,out-migration,-18618
1971,4,Alberta,out-migration,-17140
1972,1,Alberta,out-migration,-11255
1972,2,Alberta,out-migration,-10128
1972,3,Alberta,out-migration,-14891
1972,4,Alberta,out-migration,-17717
1973,1,Alberta,out-migration,-13159
1973,2,Alberta,out-migration,-12264
1973,3,Alberta,out-migration,-20160
1973,4,Alberta,out-migration,-22216
1974,1,Alberta,out-migration,-13662
1974,2,Alberta,out-migration,-14134
1974,3,Alberta,out-migration,-17059
1974,4,Alberta,out-migration,-15756
1975,1,Alberta,out-migration,-12461
1975,2,Alberta,out-migration,-10644
1975,3,Alberta,out-migration,-16136
1975,4,Alberta,out-migration,-13991
1976,1,Alberta,out-migration,-11001
1976,2,Alberta,out-migration,-10114
1976,3,Alberta,out-migration,-16505
1976,4,Alberta,out-migration,-9717
1977,1,Alberta,out-migration,-8952
1977,2,Alberta,out-migration,-11448
1977,3,Alberta,out-migration,-17861
1977,4,Alberta,out-migration,-10617
1978,1,Alberta,out-migration,-9763
1978,2,Alberta,out-migration,-12486
1978,3,Alberta,out-migration,-18497
1978,4,Alberta,out-migration,-11049
1979,1,Alberta,out-migration,-10101
1979,2,Alberta,out-migration,-12984
1979,3,Alberta,out-migration,-20920
1979,4,Alberta,out-migration,-12471
1980,1,Alberta,out-migration,-11282
1980,2,Alberta,out-migration,-14602
1980,3,Alberta,out-migration,-22915
1980,4,Alberta,out-migration,-13700
1981,1,Alberta,out-migration,-12443
1981,2,Alberta,out-migration,-16075
1981,3,Alberta,out-migration,-21616
1981,4,Alberta,out-migration,-13800
1982,1,Alberta,out-migration,-12839
1982,2,Alberta,out-migration,-15229
1982,3,Alberta,out-migration,-24873
1982,4,Alberta,out-migration,-14712
1983,1,Alberta,out-migration,-13664
1983,2,Alberta,out-migration,-17782
1983,3,Alberta,out-migration,-25164
1983,4,Alberta,out-migration,-15031
1984,1,Alberta,out-migration,-14075
1984,2,Alberta,out-migration,-18842
1984,3,Alberta,out-migration,-25466
1984,4,Alberta,out-migration,-12863
1985,1,Alberta,out-migration,-10760
1985,2,Alberta,out-migration,-14590
1985,3,Alberta,out-migration,-22963
1985,4,Alberta,out-migration,-11674
1986,1,Alberta,out-migration,-9743
1986,2,Alberta,out-migration,-13482
1986,3,Alberta,out-migration,-28879
1986,4,Alberta,out-migration,-15941
1987,1,Alberta,out-migration,-12415
1987,2,Alberta,out-migration,-16867
1987,3,Alberta,out-migration,-29210
1987,4,Alberta,out-migration,-15608
1988,1,Alberta,out-migration,-11432
1988,2,Alberta,out-migration,-14509
1988,3,Alberta,out-migration,-22705
1988,4,Alberta,out-migration,-12797
1989,1,Alberta,out-migration,-10553
1989,2,Alberta,out-migration,-13530
1989,3,Alberta,out-migration,-23750
1989,4,Alberta,out-migration,-13276
1990,1,Alberta,out-migration,-11211
1990,2,Alberta,out-migration,-14037
1990,3,Alberta,out-migration,-20596
1990,4,Alberta,out-migration,-10188
1991,1,Alberta,out-migration,-9324
1991,2,Alberta,out-migration,-13414
1991,3,Alberta,out-migration,-21689
1991,4,Alberta,out-migration,-10761
1992,1,Alberta,out-migration,-10322
1992,2,Alberta,out-migration,-13892
1992,3,Alberta,out-migration,-21263
1992,4,Alberta,out-migration,-10511
1993,1,Alberta,out-migration,-10099
1993,2,Alberta,out-migration,-13377
1993,3,Alberta,out-migration,-17668
1993,4,Alberta,out-migration,-10888
1994,1,Alberta,out-migration,-9945
1994,2,Alberta,out-migration,-14892
1994,3,Alberta,out-migration,-18178
1994,4,Alberta,out-migration,-10665
1995,1,Alberta,out-migration,-9835
1995,2,Alberta,out-migration,-13125
1995,3,Alberta,out-migration,-16307
1995,4,Alberta,out-migration,-10279
1996,1,Alberta,out-migration,-9897
1996,2,Alberta,out-migration,-12898
1996,3,Alberta,out-migration,-15056
1996,4,Alberta,out-migration,-8285
1997,1,Alberta,out-migration,-8802
1997,2,Alberta,out-migration,-11908
1997,3,Alberta,out-migration,-14756
1997,4,Alberta,out-migration,-6537
1998,1,Alberta,out-migration,-9065
1998,2,Alberta,out-migration,-12860
1998,3,Alberta,out-migration,-13828
1998,4,Alberta,out-migration,-8408
1999,1,Alberta,out-migration,-10103
1999,2,Alberta,out-migration,-13402
1999,3,Alberta,out-migration,-15993
1999,4,Alberta,out-migration,-8770
2000,1,Alberta,out-migration,-10313
2000,2,Alberta,out-migration,-12971
2000,3,Alberta,out-migration,-15768
2000,4,Alberta,out-migration,-8330
2001,1,Alberta,out-migration,-8471
2001,2,Alberta,out-migration,-11103
2001,3,Alberta,out-migration,-16228
2001,4,Alberta,out-migration,-9137
2002,1,Alberta,out-migration,-9832
2002,2,Alberta,out-migration,-14183
2002,3,Alberta,out-migration,-16416
2002,4,Alberta,out-migration,-9856
2003,1,Alberta,out-migration,-10131
2003,2,Alberta,out-migration,-16321
2003,3,Alberta,out-migration,-15559
2003,4,Alberta,out-migration,-9015
2004,1,Alberta,out-migration,-10671
2004,2,Alberta,out-migration,-14971
2004,3,Alberta,out-migration,-14138
2004,4,Alberta,out-migration,-8856
2005,1,Alberta,out-migration,-10363
2005,2,Alberta,out-migration,-14638
2005,3,Alberta,out-migration,-14884
2005,4,Alberta,out-migration,-7004
2006,1,Alberta,out-migration,-10843
2006,2,Alberta,out-migration,-13308
2006,3,Alberta,out-migration,-17727
2006,4,Alberta,out-migration,-12950
2007,1,Alberta,out-migration,-13900
2007,2,Alberta,out-migration,-17270
2007,3,Alberta,out-migration,-24023
2007,4,Alberta,out-migration,-13579
2008,1,Alberta,out-migration,-14710
2008,2,Alberta,out-migration,-16808
2008,3,Alberta,out-migration,-20075
2008,4,Alberta,out-migration,-11026
2009,1,Alberta,out-migration,-14026
2009,2,Alberta,out-migration,-16927
2009,3,Alberta,out-migration,-18283
2009,4,Alberta,out-migration,-11638
2010,1,Alberta,out-migration,-14860
2010,2,Alberta,out-migration,-16448
2010,3,Alberta,out-migration,-16767
2010,4,Alberta,out-migration,-11098
2011,1,Alberta,out-migration,-12608
2011,2,Alberta,out-migration,-15059
2011,3,Alberta,out-migration,-18189
2011,4,Alberta,out-migration,-10901
2012,1,Alberta,out-migration,-12201
2012,2,Alberta,out-migration,-17641
2012,3,Alberta,out-migration,-15767
2012,4,Alberta,out-migration,-8026
2013,1,Alberta,out-migration,-11692
2013,2,Alberta,out-migration,-18470
2013,3,Alberta,out-migration,-15277
2013,4,Alberta,out-migration,-10900
2014,1,Alberta,out-migration,-13522
2014,2,Alberta,out-migration,-20720
2014,3,Alberta,out-migration,-15803
2014,4,Alberta,out-migration,-11574
2015,1,Alberta,out-migration,-16367
2015,2,Alberta,out-migration,-24136
2015,3,Alberta,out-migration,-21077
2015,4,Alberta,out-migration,-12898
2016,1,Alberta,out-migration,-19508
2016,2,Alberta,out-migration,-25523
2016,3,Alberta,out-migration,-22518
2016,4,Alberta,out-migration,-12664
2017,1,Alberta,out-migration,-18704
2017,2,Alberta,out-migration,-25859
1961,3,British Columbia,out-migration,-12224
1961,4,British Columbia,out-migration,-9435
1962,1,British Columbia,out-migration,-7452
1962,2,British Columbia,out-migration,-7792
1962,3,British Columbia,out-migration,-11571
1962,4,British Columbia,out-migration,-9134
1963,1,British Columbia,out-migration,-6633
1963,2,British Columbia,out-migration,-8286
1963,3,British Columbia,out-migration,-11651
1963,4,British Columbia,out-migration,-9027
1964,1,British Columbia,out-migration,-7400
1964,2,British Columbia,out-migration,-6774
1964,3,British Columbia,out-migration,-11810
1964,4,British Columbia,out-migration,-10366
1965,1,British Columbia,out-migration,-8012
1965,2,British Columbia,out-migration,-7846
1965,3,British Columbia,out-migration,-11884
1965,4,British Columbia,out-migration,-11227
1966,1,British Columbia,out-migration,-8603
1966,2,British Columbia,out-migration,-7568
1966,3,British Columbia,out-migration,-14057
1966,4,British Columbia,out-migration,-13645
1967,1,British Columbia,out-migration,-10213
1967,2,British Columbia,out-migration,-10720
1967,3,British Columbia,out-migration,-15233
1967,4,British Columbia,out-migration,-13716
1968,1,British Columbia,out-migration,-10711
1968,2,British Columbia,out-migration,-10304
1968,3,British Columbia,out-migration,-11573
1968,4,British Columbia,out-migration,-14202
1969,1,British Columbia,out-migration,-9301
1969,2,British Columbia,out-migration,-9030
1969,3,British Columbia,out-migration,-15175
1969,4,British Columbia,out-migration,-11238
1970,1,British Columbia,out-migration,-13085
1970,2,British Columbia,out-migration,-8242
1970,3,British Columbia,out-migration,-13475
1970,4,British Columbia,out-migration,-17077
1971,1,British Columbia,out-migration,-11265
1971,2,British Columbia,out-migration,-10414
1971,3,British Columbia,out-migration,-15354
1971,4,British Columbia,out-migration,-12805
1972,1,British Columbia,out-migration,-9023
1972,2,British Columbia,out-migration,-10154
1972,3,British Columbia,out-migration,-14883
1972,4,British Columbia,out-migration,-13351
1973,1,British Columbia,out-migration,-12227
1973,2,British Columbia,out-migration,-11220
1973,3,British Columbia,out-migration,-16777
1973,4,British Columbia,out-migration,-16331
1974,1,British Columbia,out-migration,-12239
1974,2,British Columbia,out-migration,-12330
1974,3,British Columbia,out-migration,-19894
1974,4,British Columbia,out-migration,-17055
1975,1,British Columbia,out-migration,-15208
1975,2,British Columbia,out-migration,-13204
1975,3,British Columbia,out-migration,-19676
1975,4,British Columbia,out-migration,-15912
1976,1,British Columbia,out-migration,-14523
1976,2,British Columbia,out-migration,-13491
1976,3,British Columbia,out-migration,-18962
1976,4,British Columbia,out-migration,-11836
1977,1,British Columbia,out-migration,-10277
1977,2,British Columbia,out-migration,-12108
1977,3,British Columbia,out-migration,-16233
1977,4,British Columbia,out-migration,-10208
1978,1,British Columbia,out-migration,-8897
1978,2,British Columbia,out-migration,-10457
1978,3,British Columbia,out-migration,-16168
1978,4,British Columbia,out-migration,-10113
1979,1,British Columbia,out-migration,-8833
1979,2,British Columbia,out-migration,-10387
1979,3,British Columbia,out-migration,-14357
1979,4,British Columbia,out-migration,-9043
1980,1,British Columbia,out-migration,-7881
1980,2,British Columbia,out-migration,-9211
1980,3,British Columbia,out-migration,-15152
1980,4,British Columbia,out-migration,-9509
1981,1,British Columbia,out-migration,-8240
1981,2,British Columbia,out-migration,-9750
1981,3,British Columbia,out-migration,-17084
1981,4,British Columbia,out-migration,-10998
1982,1,British Columbia,out-migration,-9707
1982,2,British Columbia,out-migration,-11489
1982,3,British Columbia,out-migration,-16409
1982,4,British Columbia,out-migration,-10112
1983,1,British Columbia,out-migration,-8593
1983,2,British Columbia,out-migration,-10596
1983,3,British Columbia,out-migration,-13576
1983,4,British Columbia,out-migration,-8369
1984,1,British Columbia,out-migration,-7141
1984,2,British Columbia,out-migration,-8366
1984,3,British Columbia,out-migration,-14059
1984,4,British Columbia,out-migration,-9220
1985,1,British Columbia,out-migration,-8200
1985,2,British Columbia,out-migration,-10610
1985,3,British Columbia,out-migration,-15811
1985,4,British Columbia,out-migration,-10710
1986,1,British Columbia,out-migration,-9481
1986,2,British Columbia,out-migration,-12119
1986,3,British Columbia,out-migration,-16480
1986,4,British Columbia,out-migration,-10836
1987,1,British Columbia,out-migration,-8252
1987,2,British Columbia,out-migration,-9447
1987,3,British Columbia,out-migration,-15769
1987,4,British Columbia,out-migration,-10051
1988,1,British Columbia,out-migration,-7574
1988,2,British Columbia,out-migration,-9368
1988,3,British Columbia,out-migration,-14938
1988,4,British Columbia,out-migration,-9682
1989,1,British Columbia,out-migration,-7501
1989,2,British Columbia,out-migration,-9703
1989,3,British Columbia,out-migration,-14955
1989,4,British Columbia,out-migration,-9743
1990,1,British Columbia,out-migration,-7544
1990,2,British Columbia,out-migration,-9993
1990,3,British Columbia,out-migration,-14098
1990,4,British Columbia,out-migration,-7481
1991,1,British Columbia,out-migration,-6481
1991,2,British Columbia,out-migration,-10304
1991,3,British Columbia,out-migration,-14493
1991,4,British Columbia,out-migration,-8007
1992,1,British Columbia,out-migration,-6829
